Title,Conference,Type,Application,MLTech,OpenReviewLink
In vivo cell-type and brain region classification via multimodal contrastive learning,ICLR_2025,Poster,Neurosciences,Contrastive_Learning,https://openreview.net/forum?id=10JOlFIPjt
Inverse Rendering using Multi-Bounce Path Tracing and Reservoir Sampling,ICLR_2025,Poster,Physics,,https://openreview.net/forum?id=KEXoZxTwbr
InversionGNN: A Dual Path Network for Multi-Property Molecular Optimization,ICLR_2025,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=nYPuSzGE3X
KinFormer: Generalizable Dynamical Symbolic Regression for Catalytic Organic Reaction Kinetics,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=nhrXqy5d5q
KinPFN: Bayesian Approximation of RNA Folding Kinetics using Prior-Data Fitted Networks,ICLR_2025,Poster,Biology,,https://openreview.net/forum?id=E1m5yGMOiV
Large-scale and Fine-grained Vision-language Pre-training for Enhanced CT Image Understanding,ICLR_2025,Poster,Healthcare,Language_Model,https://openreview.net/forum?id=nYpPAT4L3D
Latent-EnSF: A Latent Ensemble Score Filter for High-Dimensional Data Assimilation with Sparse Observation Data,ICLR_2025,Poster,Earth_Sciences,,https://openreview.net/forum?id=urcEYsZOBz
Learning and aligning single-neuron invariance manifolds in visual cortex,ICLR_2025,Poster,Neurosciences,Representation_Learning,https://openreview.net/forum?id=kbjJ9ZOakb
Learning a Neural Solver for Parametric PDEs to Enhance Physics-Informed Methods,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=jqVj8vCQsT
Learning Chaos In A Linear Way,ICLR_2025,Poster,Physics,Neural_Network,https://openreview.net/forum?id=Llh6CinTiy
Learning Distributions of Complex Fluid Simulations with Diffusion Graph Networks,ICLR_2025,Poster,Physics,Diffusion_Model,https://openreview.net/forum?id=uKZdlihDDn
Learning Equivariant Non-Local Electron Density Functionals,ICLR_2025,Poster,Materials,Geometric_Deep_Learning,https://openreview.net/forum?id=FhBT596F1X
Learning General-purpose Biomedical Volume Representations using Randomized Synthesis,ICLR_2025,Poster,Healthcare,Representation_Learning,https://openreview.net/forum?id=xOmC5LiVuN
Learning local equivariant representations for quantum operators,ICLR_2025,Poster,Physics,Geometric_Deep_Learning,https://openreview.net/forum?id=kpq3IIjUD3
"Dynamic Modeling of Patients, Modalities and Tasks via Multi-modal Multi-task Mixture of Experts",ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=NJxCpMt0sf
E(3)-equivariant models cannot learn chirality: Field-based molecular generation,ICLR_2025,Poster,Chemistry,Geometric_Deep_Learning,https://openreview.net/forum?id=mXHTifc1Fn
ECD: A Machine Learning Benchmark for Predicting Enhanced-Precision Electronic Charge Density in Crystalline Inorganic Materials,ICLR_2025,Poster,Materials,,https://openreview.net/forum?id=SBCMNc3Mq3
ECHOPulse: ECG Controlled Echocardio-gram Video Generation,ICLR_2025,Poster,Healthcare,Generative_Model,https://openreview.net/forum?id=i2r7LDjba3
Effective and Efficient Time-Varying Counterfactual Prediction with State-Space Models,ICLR_2025,Poster,Healthcare,,https://openreview.net/forum?id=yheQRc5xWB
Efficient Biological Data Acquisition through Inference Set Design,ICLR_2025,Poster,Chemistry,,https://openreview.net/forum?id=gVkX9QMBO3
Efficient Evolutionary Search Over Chemical Space with Large Language Models,ICLR_2025,Poster,Chemistry,Language_Model,https://openreview.net/forum?id=awWiNvQwf3
