Title,Conference,Type,Application,MLTech,OpenReviewLink
FALCON Benchmark: Few-shot Algorithms for Consistent Neural Decoding,NeurIPS_2024,Poster,Multidisciplinary,benchmark;few_shot_learning,
Gaussian Process Bandits for Top-k Recommendations (Not Scientific Object),NeurIPS_2024,Poster,Unknown,gaussian_process;bandit_algorithm,https://openreview.net/forum?id=50nEnmVLRb
Gaussian Voxel Kernel Functions for Highly Efficient Surface Reconstruction in Open Scenes,NeurIPS_2024,Poster,Physics,kernel_regression;3d_gaussian_splatting,https://openreview.net/forum?id=DQD0DNRjxk
PocketFlow (Keep highest confidence entry only),NeurIPS_2024,Poster,Chemistry,flow_matching;equivariant_network,https://openreview.net/forum?id=WyVTj77KEV
Generative Fractional Diffusion Models (Applied to image data only),NeurIPS_2024,Poster,Unknown,diffusion_model;fractional_brownian_motion,https://openreview.net/forum?id=B9qg3wo75g
FlowLLM (Duplicate handling note),NeurIPS_2024,Poster,Materials,flow_matching;LLM_guided_generation,https://openreview.net/forum?id=0bFXbEMz8e
P^2C^2Net: PDE-Preserved Coarse Correction Network for efficient prediction of spatiotemporal dynamics,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=motImXq3B1
PACE: Pacing Operator Learning to Accurate Optical Field Simulation for Complicated Photonic Devices,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=uXJlgkWdcI
Parallel Backpropagation for Shared-Feature Visualization,NeurIPS_2024,Poster,Neuroscience,neural_network,https://openreview.net/forum?id=OQzCSb6fbl
Parametric model reduction of mean-field and stochastic systems via higher-order action matching,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=qyaz3XP0FN
PEACE: A Dataset of Pharmaceutical Care for Cancer Pain Analgesia Evaluation and Medication Decision,NeurIPS_2024,Poster,Medical_healthcare,,https://openreview.net/forum?id=dBSoa8fpV7
Personalized Adapter for Large Meteorology Model on Devices: Towards Weather Foundation Models,NeurIPS_2024,Poster,Earth_climate,transformer,https://openreview.net/forum?id=llTroju97T
PhoCoLens: Photorealistic and Consistent Reconstruction in Lensless Imaging,NeurIPS_2024,Poster,Physics,diffusion_model,https://openreview.net/forum?id=XUAcPEaeBU
PhyloGen: Language Model-Enhanced Phylogenetic Inference via Graph Structure Generation,NeurIPS_2024,Poster,Biology,transformer,https://openreview.net/forum?id=GxvDsFArxY
Physical Consistency Bridges Heterogeneous Data in Molecular Multi-Task Learning,NeurIPS_2024,Poster,Chemistry,neural_network,https://openreview.net/forum?id=GnF9tavqgc
